shipment_id,order_date,delivery_date,region,origin,destination,service_type,delivery_status,estimated_days,actual_days,delay_days,distance_km,distribution_center,customer_segment
VLX-2026-000001,2026-03-27,2026-04-02,Southeast,Sao Paulo/SP,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,6,6,0,946,DC-MG-01,RETAIL
VLX-2026-000002,2026-05-24,2026-05-29,Southeast,Florianopolis/SC,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,907,DC-MG-01,ENTERPRISE
VLX-2026-000003,2026-07-01,2026-07-06,Northeast,Porto Velho/RO,Recife/PE,STANDARD,DELIVERED_ON_TIME,6,5,0,207,DC-PE-01,RETAIL
VLX-2026-000004,2026-08-17,2026-08-22,Southeast,Florianopolis/SC,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,5,0,771,DC-MG-01,ENTERPRISE
VLX-2026-000005,2026-08-07,2026-08-12,Central-West,Florianopolis/SC,Brasilia/DF,EXPRESS,DELIVERY_EXCEPTION,3,5,2,1471,DC-GO-01,SMB
VLX-2026-000006,2026-01-18,2026-01-22,North,Porto Alegre/RS,Belem/PA,EXPRESS,DELIVERED_ON_TIME,4,4,0,2343,DC-AM-01,SMB
VLX-2026-000007,2026-01-05,2026-01-11,Northeast,Sao Paulo/SP,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,6,6,0,1056,DC-PE-01,RETAIL
VLX-2026-000008,2026-07-03,2026-07-08,South,Curitiba/PR,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,939,DC-RS-01,RETAIL
VLX-2026-000009,2026-04-13,2026-04-20,Northeast,Sao Paulo/SP,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,7,7,0,1117,DC-CE-01,RETAIL
VLX-2026-000010,2026-02-16,2026-02-22,Southeast,Recife/PE,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,6,0,1062,DC-RJ-01,RETAIL
VLX-2026-000011,2026-07-17,2026-07-25,Southeast,Manaus/AM,Belo Horizonte/MG,STANDARD,DELIVERED_LATE,5,8,3,844,DC-SP-01,RETAIL
VLX-2026-000012,2026-02-17,2026-02-24,North,Belo Horizonte/MG,Belem/PA,STANDARD,DELIVERED_ON_TIME,7,7,0,1639,DC-AM-01,RETAIL
VLX-2026-000013,2026-07-04,2026-07-09,North,Rio de Janeiro/RJ,Manaus/AM,EXPRESS,DELIVERED_ON_TIME,5,5,0,810,DC-AM-01,RETAIL
VLX-2026-000014,2026-07-26,2026-07-27,South,Porto Alegre/RS,Curitiba/PR,EXPRESS,DELIVERED_ON_TIME,2,1,0,1139,DC-RS-01,SMB
VLX-2026-000015,2026-04-08,2026-04-16,Northeast,Rio de Janeiro/RJ,Fortaleza/CE,STANDARD,DELIVERED_LATE,6,8,2,604,DC-PE-01,RETAIL
VLX-2026-000016,2026-03-20,2026-03-26,Southeast,Belo Horizonte/MG,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,6,0,1080,DC-RJ-01,SMB
VLX-2026-000017,2026-05-21,2026-05-26,Central-West,Belo Horizonte/MG,Cuiaba/MT,STANDARD,DELIVERED_ON_TIME,6,5,0,973,DC-GO-01,RETAIL
VLX-2026-000018,2026-04-10,2026-04-16,South,Sao Paulo/SP,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,6,6,0,709,DC-PR-01,RETAIL
VLX-2026-000019,2026-01-26,2026-01-28,South,Belo Horizonte/MG,Porto Alegre/RS,EXPRESS,DELIVERED_ON_TIME,2,2,0,923,DC-RS-01,RETAIL
VLX-2026-000020,2026-05-26,2026-06-07,Northeast,Porto Velho/RO,Fortaleza/CE,STANDARD,DELIVERED_LATE,6,12,6,396,DC-CE-01,SMB
VLX-2026-000021,2026-07-03,2026-07-08,South,Manaus/AM,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,818,DC-RS-01,RETAIL
VLX-2026-000022,2026-04-23,2026-04-25,Southeast,Rio de Janeiro/RJ,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,2,0,902,DC-MG-01,SMB
VLX-2026-000023,2026-02-02,2026-02-11,South,Rio de Janeiro/RJ,Florianopolis/SC,STANDARD,DELIVERED_LATE,6,9,3,957,DC-RS-01,RETAIL
VLX-2026-000024,2026-04-24,2026-04-27,Central-West,Belo Horizonte/MG,Brasilia/DF,EXPRESS,DELIVERED_ON_TIME,4,3,0,637,DC-GO-01,SMB
VLX-2026-000025,2026-03-20,2026-03-25,Northeast,Florianopolis/SC,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,6,5,0,1432,DC-CE-01,RETAIL
VLX-2026-000026,2026-02-03,2026-02-08,South,Recife/PE,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,1250,DC-PR-01,SMB
VLX-2026-000027,2026-02-21,2026-03-03,Northeast,Fortaleza/CE,Fortaleza/CE,STANDARD,DELIVERED_LATE,6,10,4,443,DC-CE-01,RETAIL
VLX-2026-000028,2026-08-16,2026-08-21,South,Porto Alegre/RS,Florianopolis/SC,STANDARD,DELIVERED_ON_TIME,6,5,0,476,DC-RS-01,RETAIL
VLX-2026-000029,2026-06-07,2026-06-08,Southeast,Recife/PE,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,1,0,882,DC-RJ-01,RETAIL
VLX-2026-000030,2026-04-24,2026-05-06,South,Manaus/AM,Curitiba/PR,STANDARD,DELIVERY_EXCEPTION,6,12,6,916,DC-RS-01,RETAIL
VLX-2026-000031,2026-06-10,2026-06-19,Central-West,Rio de Janeiro/RJ,Cuiaba/MT,STANDARD,DELIVERED_LATE,6,9,3,1169,DC-DF-01,RETAIL
